schooldbn,Name,fl_percent,frl_percent,total_enrollment,prek,k,grade1,grade2,grade3,grade4,grade5,grade6,grade7,grade8,grade9,grade10,grade11,grade12,ell_num,ell_percent,sped_num,sped_percent,ctt_num,selfcontained_num,asian_num,asian_per,black_num,black_per,hispanic_num,hispanic_per,white_num,white_per,male_num,male_per,female_num,female_per,district,printedschoolname,overview,neighborhood,address,sharedbuilding,accessibility,telephone,independentwebsite,subway,bus,code_prog1,name_prog1,admissionsmethod_prog1,geapps_prog1,swdapps_prog1,geappsperseat_prog1,swdappsperseat_prog1,swdseats_prog1,geseats_prog1,gefilled_prog1,swdfilled_prog1,eligibility_prog1,priority1_prog1,priority2_prog1,priority3_prog1,priority4_prog1,priority5_prog1,priority6_prog1,priority7_prog1,prefnote_prog1,lowestpriority_prog1,selectioncriteria1_prog1,selectioncriteria2_prog1,selectioncriteria3_prog1,selectioncriteria4_prog1,selectioncriteria5_prog1,selectioncriteria6_prog1,selectioncriteria7_prog1,selectioncriteria8_prog1,selectioncriteria9_prog1,selectioncriteria10_prog1,selectioncriteria11_prog1,selectioncriteria12_prog1,revealed_prog1,code_prog2,name_prog2,admissionsmethod_prog2,geapps_prog2,swdapps_prog2,geappsperseat_prog2,swdappsperseat_prog2,swdseats_prog2,geseats_prog2,gefilled_prog2,swdfilled_prog2,eligibility_prog2,priority1_prog2,priority2_prog2,priority3_prog2,priority4_prog2,priority5_prog2,priority6_prog2,priority7_prog2,prefnote_prog2,lowestpriority_prog2,selectioncriteria1_prog2,selectioncriteria2_prog2,selectioncriteria3_prog2,selectioncriteria4_prog2,selectioncriteria5_prog2,selectioncriteria6_prog2,selectioncriteria7_prog2,selectioncriteria8_prog2,selectioncriteria9_prog2,selectioncriteria10_prog2,selectioncriteria11_prog2,selectioncriteria12_prog2,revealed_prog2,code_prog3,name_prog3,admissionsmethod_prog3,geapps_prog3,swdapps_prog3,geappsperseat_prog3,swdappsperseat_prog3,swdseats_prog3,geseats_prog3,gefilled_prog3,swdfilled_prog3,eligibility_prog3,priority1_prog3,priority2_prog3,priority3_prog3,priority4_prog3,priority5_prog3,priority6_prog3,priority7_prog3,prefnote_prog3,lowestpriority_prog3,selectioncriteria1_prog3,selectioncriteria2_prog3,selectioncriteria3_prog3,selectioncriteria4_prog3,selectioncriteria5_prog3,selectioncriteria6_prog3,selectioncriteria7_prog3,selectioncriteria8_prog3,selectioncriteria9_prog3,selectioncriteria10_prog3,selectioncriteria11_prog3,selectioncriteria12_prog3,revealed_prog3,code_prog4,name_prog4,admissionsmethod_prog4,geapps_prog4,swdapps_prog4,geappsperseat_prog4,swdappsperseat_prog4,swdseats_prog4,geseats_prog4,gefilled_prog4,swdfilled_prog4,eligibility_prog4,priority1_prog4,priority2_prog4,priority3_prog4,priority4_prog4,priority5_prog4,priority6_prog4,priority7_prog4,prefnote_prog4,lowestpriority_prog4,selectioncriteria1_prog4,selectioncriteria2_prog4,selectioncriteria3_prog4,selectioncriteria4_prog4,selectioncriteria5_prog4,selectioncriteria6_prog4,selectioncriteria7_prog4,selectioncriteria8_prog4,selectioncriteria9_prog4,selectioncriteria10_prog4,selectioncriteria11_prog4,selectioncriteria12_prog4,revealed_prog4,code_prog5,name_prog5,admissionsmethod_prog5,geapps_prog5,swdapps_prog5,geappsperseat_prog5,swdappsperseat_prog5,swdseats_prog5,geseats_prog5,gefilled_prog5,swdfilled_prog5,eligibility_prog5,priority1_prog5,priority2_prog5,priority3_prog5,priority4_prog5,priority5_prog5,priority6_prog5,priority7_prog5,prefnote_prog5,lowestpriority_prog5,selectioncriteria1_prog5,selectioncriteria2_prog5,selectioncriteria3_prog5,selectioncriteria4_prog5,selectioncriteria5_prog5,selectioncriteria6_prog5,selectioncriteria7_prog5,selectioncriteria8_prog5,selectioncriteria9_prog5,selectioncriteria10_prog5,selectioncriteria11_prog5,selectioncriteria12_prog5,revealed_prog5,code_prog6,name_prog6,admissionsmethod_prog6,geapps_prog6,swdapps_prog6,geappsperseat_prog6,swdappsperseat_prog6,swdseats_prog6,geseats_prog6,gefilled_prog6,swdfilled_prog6,eligibility_prog6,priority1_prog6,priority2_prog6,priority3_prog6,priority4_prog6,priority5_prog6,priority6_prog6,priority7_prog6,prefnote_prog6,lowestpriority_prog6,selectioncriteria1_prog6,selectioncriteria2_prog6,selectioncriteria3_prog6,selectioncriteria4_prog6,selectioncriteria5_prog6,selectioncriteria6_prog6,selectioncriteria7_prog6,selectioncriteria8_prog6,selectioncriteria9_prog6,selectioncriteria10_prog6,selectioncriteria11_prog6,selectioncriteria12_prog6,revealed_prog6,coursepassrate,elaprof,mathprof,tophs1,tophs2,tophs3,surveysafety,totalstudents,gradespan,communityschool,schoolday,uniform,ellprograms,communityservice,extendedday,summersession,weekendprogram,languageclasses,acceleratedclasses,electiveclasses,activities,champsboys,champsgirls,champscoed,othersports,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,boro_cd
12X217,SCHOOL OF PERFORMING ARTS,99.3,,518,,,,,,,118,93,149,158,,,,,104,20.1,77,14.9,1,60,10,1.9,136,26.3,368,71,1,0.2,266,51.4,252,48.6,12,School of Performing Arts,"The mission of I.S. 217 is to recognize students as individuals, to help them apply classroom learning to everyday life, and to become creative problem solvers. We focus on improving professional practices, effectively implementing Common Core Learning Standards, and providing enrichment experiences that will promote students' ability to build positive relationships and value their education.",Hunts Point,"977 Fox Street, Bronx NY 10459","Yes—12X217, 12X384, 84X346",Accessible,718-589-4844,is217.org,"6 to Hunts Point Ave; 2, 5 to Intervale Ave","Bx11, Bx17, Bx19, Bx27, Bx35, Bx4, Bx46, Bx4A, Bx5, Bx6",X217U,School of Performing Arts,Unscreened,466,111,6,5,21,74,N,Y,Open to students and residents of the Bronx,Priority to students residing in the zone,Then to students and residents of District 12,"Then to students and residents of the Bronx. Last year, this program admitted students from all priority groups.",,,,,,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,9,7,Harry S Truman High School,The Metropolitan Soundview High School,,65,299,GR 6-8,Yes,8:05am-3:40pm,Yes,English as a New Language,No,Yes,No,Yes–Saturday program,Spanish,,"Dance, Music, OMNiLEARN Science Class, Stella Adler Acting Studio",After-School Tutoring ; Creative Connections High School Planning Program ; Montefiore School-Based Health Center ; Peer Mediators ; Sports and Arts After-School Program ; Student Advisory ; Student Government,,,,"Basketball, Flag Football, Soccer, Softball",10459,4,40.822443,-73.893902,2,17,159,2005660,2027140004,Hunts Point                                                                ,402
08X301,MS 301 PAUL L. DUNBAR MS,92,,489,,,,,,,,113,174,202,,,,,43,8.8,107,21.9,,61,2,0.4,201,41.1,279,57.1,3,0.6,260,53.2,229,46.8,8,The Paul L. Dunbar Middle School (M.S. 301),"The goal for all students who attend Dunbar Middle School is to ""GET BETTER EVERY DAY!"" Our approach to education is identified by creativity, collaboration, and community. Students engage in problem-based learning in math, hands-on activities in our state-of-the-art science lab, presenting and justifying claims in social studies, and using the Teacher's College Writers' Workshop in ELA. Our partnership with Lincoln Center exposes our students to the arts and gives our community access to Lincoln Center, as well as to free shows at our school by world renowned performers. We partner with Children's Aid Society to offer a comprehensive approach to education for the benefit of our students and their families. We will identify the strengths and needs of each student, extend school hours to expand learning time, work with our students to become more college and career ready, and engage families in the educational experience.",Morrisania,"890 Cauldwell Avenue, Bronx NY 10456","Yes–08X301, 75X188, 84X487",Not Accessible,718-585-2950,schools.nyc.gov/schoolportals/08/x301,"2, 5 to Prospect Ave","Bx13, Bx15, Bx17, Bx21, Bx4, Bx41, Bx41-SBS, Bx46, Bx4A, Bx6",X301U,The Paul L. Dunbar Middle School (M.S. 301),Unscreened,224,56,4,4,14,,N,N,Open to students and residents of the Bronx,Priority to students residing in the zone,Then to students and residents of District 8,"Then to students and residents of the Bronx. Last year, this program admitted students from all priority groups.",,,,,,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harry S Truman High School,,,,,GR 6-8,Yes,8:15am-3:44pm,Yes,English as a New Language,No,Yes–After-School,Yes–Academic support for certain students.,Yes–Saturday program for certain students,,,"100 Book Challenge, College and Career Readiness with Creative Connections, Expanded Learning Time (extra period of learning each day), OMNiLEARN and Makeosity for Science, Partnership with Lincoln Center Education (Arts in the Middle), Practice Makes Perfect Summer Specialized High School Preparation, Super Saturday Academy, Teacher's College Writers' Workshop",Art Portfolio Development ; Career Fair ; Chess Club ; Children's Aid Society After-School Program ; Crossfit ; Dance ; Student Advisory Board ; Urban Arts ; Varsity and Intramural Basketball ; Young Entrepreneurs Organization,,,"Developmental Basketball, Fitness Club, Flag Football",Basketball,10456,4,40.822474,-73.907194,3,16,185,2004496,2026310048,Morrisania-Melrose                                                         ,403
09X004,PSMS 004 CROTONA PARK WEST,85.7,,583,,69,45,57,49,49,84,81,88,61,,,,,69,11.8,162,27.8,27,95,9,1.5,237,40.7,331,56.8,0,0,299,51.3,284,48.7,9,Crotona Park West (P.S./M.S. 4),"P.S./M.S. 4 is a school where scholars come first. Our vision is to create a culture of self-reflective scholars who use learning opportunities to develop a global awareness of the world. The school society, comprised of parents, guardians, students, teachers, and staff, makes a combined effort to provide an educational experience that teaches the whole child. We acknowledge students' mental, social, emotional, and physical needs. Our mission at P.S./M.S. 4 is to devise and implement a comprehensive educational program that encompasses all members of the community and actively engages them in real world experiences, technological advances, and meaningful discourse. The fundamental components consist of data analysis, goal-setting, teacher teams, reflective practitioners, authentic professional development, parental involvement, and the establishment of societal norms.",Claremont,"1701 Fulton Avenue, Bronx NY 10457","Yes—09X004, 09X276, 84X133",Not Accessible,718-583-6655,schools.nyc.gov/schoolportals/09/x004,,"Bx11, Bx15, Bx17, Bx21, Bx36, Bx40, Bx41, Bx41-SBS, Bx42",X004Z,Crotona Park West (P.S./M.S. 4),Zoned,,,,,,,,,Open to continuing 5th grade students and students residing in the zone,Priority to continuing 5th grade students,"Then to students residing in the zone. Last year, this program admitted students from all priority groups.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wings Academy,,,,,GR PK-8,No,8am-2:20pm,Yes,English as a New Language,No,Yes,No,No,,,"Leader in Me Program, Peer Group Connection Leadership Program, Student Council, Thurgood Marshall Junior Mock Trial Program",Broadway Junior Drama and Arts Program ; The Phipps Community Development Corporation CPW After-School Program & K-8 Academic Enrichment Program,,,,"Basketball Teams (Varsity, JV Boys, and Girls)",10457,4,40.840891,-73.898166,3,15,165,2009659,2029300001,Claremont-Bathgate                                                         ,403
09X128,MOTT HALL III,80.7,,227,,,,,,,,78,77,72,,,,,3,1.3,3,1.3,,,0,0,95,41.9,129,56.8,1,0.4,101,44.5,126,55.5,9,Mott Hall III,"Our students enjoy our small environment where they are treated like family. We celebrate our students' talents through science and curriculum fairs, talent showcases, and cultural celebrations. Students like our SMART Boards and computers in each classroom, laptop carts for each grade, and computer lab. Parents embrace our challenging academic experiences and high standards. We offer families tools to support their children, including weekly progress reports and an online gradebook. We work closely with our PTA to offer events that celebrate our community and showcase our students' talents. Our school is proud to have proficiency scores in ELA and math that nearly triple district averages. We were listed as ""Among the Best"" middle schools by the NY Daily News in 2012. We have been profiled in each edition of New York City's Best Public Middle Schools: A Parent's Guide. Our graduates regularly gain acceptance into highly competitive specialized, private, and parochial high schools.",Morrisania,"580 Crotona Park South, Bronx NY 10456","Yes—09X110, 09X128",Not Accessible,718-842-6138,motthall3.com,,"Bx11, Bx15, Bx17, Bx21, Bx35, Bx41, Bx41-SBS",X128S,Mott Hall III,Screened,881,169,9,7,23,102,Y,Y,Open to students and residents of Districts 9 and 10,Priority to students and residents of District 9,"Then to students and residents of District 10. Last year, this program only admitted students from priority group 1.",,,,,,,,Academic and Personal Behaviors,Attendance,Interview,Punctuality,4th Grade New York State ELA and Math Exams,Writing Exercise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marble Hill High School for International Studies,Bronx Center for Science and Mathematics,Knowledge and Power Preparatory Academy International High School (Kappa),,,GR 6-8,No,8am-2:20pm, Yes–Official uniform must be purchased,English as a New Language,No,Yes,Yes–Academic support for certain students,Yes–Saturday program for certain students,,"Algebra I, Living Environment","Advisory Program, Annual Science Expo, Baker's Delight, Beginning Guitar, Big Bang Club, Chess Club, Chorus, Cultural Celebrations, Curriculum Expos, Drumming, Google App Inventor, Graphic Novel Design, Intro to Drawing, Japanese Language and Culture, Junior Astronomers, Latin Dance, Regular Talent Showcases",After-School Enrichment Academy ; Drama ; Future City Competition ; MH3 Chess Team ; MH3 Chorus ; MH3 Dance Team ; MH3 Rock Stars ; Photography ; Prep 9 ; Specialized High School Prep ; Student Government ; TEAK ; The Oliver Program ; Trips to Colleges and Universities in the Tri-State Area,Baseball,Softball,Flag Football,"Basketball, Soccer, Track and Field",10456,4,40.835286,-73.900751,3,16,149,2009718,2029320001,Morrisania-Melrose                                                         ,403
09X215,KAPPA,84.1,,264,,,,,,,46,50,82,86,,,,,6,2.3,3,1.1,,1,11,4.2,119,45.1,132,50,0,0,107,40.5,157,59.5,9,Knowledge and Power Preparatory Academy (M.S. 215),"The Knowledge and Power Preparatory Academy (KAPPA) is modeled after KIPP Charter School, in partnership with Replications, Inc., which was founded by John Elwell. There are currently four KAPPA schools in NYC that have been modeled after our school. KAPPA is unique in that over 90% of KAPPA scholars do not reside in the community. The vast majority of our students commute to school via public transportation. KAPPA is in its 12th year as an autonomous school and 17th year as an educational institution. Our student population is diverse. Students hail from Central America, South America, Africa, Asia, and the Caribbean. The vast majority of our students speak a second language at home, adding to the uniqueness of our school. What these diverse students have in common is that they value education, which is a direct result of strong parental support at home.",Claremont,"3630 Third Avenue, Bronx NY 10456","Yes—09X215, 09X219, 09X517",Not Accessible,718-590-5455,schools.nyc.gov/schoolportals/09/x215,,"Bx11, Bx15, Bx17, Bx21, Bx32, Bx35, Bx41, Bx41-SBS",X215S,KAPPA,Screened,481,117,5,5,22,90,Y,Y,Open to students and residents of Districts 9 and 10,Priority to students and residents of District 9,"Then to students and residents of District 10. Last year, this program only admitted students from priority group 1.",,,,,,,,Academic and Personal Behaviors,Entrance Exam,Final 4th Grade Report Card,Student Interview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx Center for Science and Mathematics,Hostos-Lincoln Academy of Science,,,,GR 6-8,No,7:30am-2:05pm,Yes,English as a New Language,Yes–Expected,Yes–After-School,Yes,No,,"Algebra I, Living Environment",Art,,,,,Basketball,10456,4,40.833511,-73.90449,3,16,14701,2009611,2029250001,Claremont-Bathgate                                                         ,403
09X219,IS 219 NEW VENTURE SCHOOL,84.1,,632,,,,,,,,154,206,272,,,,,77,12.2,99,15.7,10,51,4,0.6,306,48.4,310,49.1,3,0.5,321,50.8,311,49.2,9,M.S. 219,"At M.S. 219, each student is treated as an individual who makes valuable contributions to our school. Students enjoy our integration of technology into core subject areas. Parents value M.S. 219’s mission to create, promote, and sustain a school community with a culture of mutual support and collective responsibility for the educational and holistic development of learners.",Claremont,"3630 Third Avenue, Bronx NY 10456","Yes—09X215, 09X219, 09X517",Not Accessible,718-681-7093,schools.nyc.gov/schoolportals/09/x219,,"Bx11, Bx15, Bx17, Bx21, Bx32, Bx35, Bx41, Bx41-SBS",X219U,M.S. 219,Unscreened,307,97,3,4,26,114,N,Y,Open to students and residents of the Bronx,Priority to students residing in the zone,Then to students and residents of District 9,Then to students and residents of District 10,Then to students and residents of the Bronx.,,,,,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eximius College Preparatory Academy: A College Board School,Harry S Truman High School,New World High School,,,GR 6-8,Yes,8:40am-4pm,Yes,"English as a New Language, Transitional Bilingual Education: Spanish",No,Yes,Yes,Yes–Saturday program for academic support and enrichment,,,,"Chorus ; Dance ; Drama ; Grade Trips (Boston, Philadelphia, Baltimore, Washington, D.C.) ; Music ; Robotics ; STEAM Initiatives ; Tech Lab ; Univision Media Center Program",,Girls Volleyball League,,"Basketball, Intramural Football, Track and Field, Volleyball, Wiffle Ball",10456,4,40.833511,-73.90449,3,16,14701,2009611,2029250001,Claremont-Bathgate                                                         ,403
09X241,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIEN,86.8,,159,,,,,,,,79,80,,,,,,8,5,7,4.4,,,10,6.3,58,36.5,83,52.2,7,4.4,89,56,70,44,9,The Urban Assembly School for Applied Math and Science,"The Urban Assembly School for Applied Math and Science strives to prepare all of our students to become compassionate, critical thinkers capable of successful pursuits after high school. We expect that our graduates will be well-prepared for college study and that they will be equipped with the skills to make solid career choices. From individual and group explorations into math to science-based projects, our school experience will be simultaneously compelling, rigorous, supportive, and fun.",Claremont-Bathgate,"1595 Bathgate Avenue, Bronx NY 10457","Yes—09X241, 09X252, 09X263",Accessible,718-466-7800,amsbronx.org,,"Bx11, Bx15, Bx17, Bx21, Bx32, Bx41, Bx41-SBS",X241L,The Urban Assembly School for Applied Math and Science,Limited Unscreened,451,105,7,7,15,66,Y,Y,Open to students and residents of Districts 9 and 10,Priority to students and residents of Districts 9 who sign in at an event,Then to students and residents of District 10 who sign in at an event,Then to students and residents of District 9,"Then to students and residents of District 10. Last year, this program only admitted students from priority groups 1, 2, and 3.",,,,,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Urban Assembly School for Applied Math and Science,,,,,GR 6-12,No,8:30am-3:05pm, Yes–Official uniform provided by school,English as a New Language,Yes–Offered,Yes–After-School,Yes–Academic support and enrichment,Yes–Saturday program,Spanish,"Algebra I, Spanish","Architecture, Art, Astronomy, Dance, Engineering, Music","Art ; Dance ; Eighth Grade Trip to Washington, DC ; Hiking/Camping programs ; Math League ; Music ; Seventh Grade Camping Trips ; Sixth Grade College Visits ; Tutoring",,,"Developmental Basketball, Fitness Club, Soccer, Table Tennis, Yoga",Wrestling,10457,4,40.839244,-73.901316,3,16,167,2009555,2029130001,Claremont-Bathgate                                                         ,403
09X313,IS 313 SCHL OF LEADERSHIP DEV.,89,,471,,,,,,,,92,190,189,,,,,129,27.4,66,14,2,22,3,0.6,151,32.1,313,66.5,2,0.4,245,52,226,48,9,School of Leadership Development (I.S. 313),"Our students like the security and stability of the School of Leadership Development. The relationships they build with teachers and staff are invaluable. Our students also enjoy being challenged academically and having many extracurricular activities. We invite our parents to become a part of their children’s education by having an open-door policy, as well as providing them with contacts to outside agencies that can assist them with social and emotional supports for their children and family.",Claremont,"1600 Webster Avenue, Bronx NY 10457","Yes—09X313, 09X339",Accessible,718-583-1736,schools.nyc.gov/schoolportals/09/x313,"B, D to 170th St","Bx1, Bx11, Bx15, Bx17, Bx18, Bx2, Bx32, Bx41, Bx41-SBS, BxM4",X313U,School of Leadership Development (I.S. 313),Unscreened,329,88,3,3,26,114,N,Y,Open to students and residents of the Bronx,Priority to students residing in the zone,Then to students and residents of District 9,Then to students and residents of District 10,Then to students and residents of the Bronx.,,,,,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx Leadership Academy High School,Fordham High School for the Arts,,,,GR 6-8,Yes,8am-3:20pm,Yes,"English as a New Language, Transitional Bilingual Education: Spanish",No,Yes,Yes,No,Spanish,Spanish,,Art ; Band ; Carnegie Math ; Character Education ; Chorus ; Drama ; EPIC Program ; Enrichment Classes ; Newspaper ; Poetry Program ; Rev It Up Reading ; Rites of Passage,,,,"Basketball, Cheerleading, Step Team",10457,4,40.840878,-73.904754,3,16,167,2009400,2028970005,Claremont-Bathgate                                                         ,403
09X339,IS 339 SCHOOL OF COMM. TECH.,82.7,,953,,,,,,,,281,344,323,5,,,,178,18.7,223,23.4,16,146,9,0.9,318,33.4,614,64.4,3,0.3,493,51.7,460,48.3,9,School of Communication Technology (M.S. 339),"Our mission is to cultivate and develop our entire school community so that all students are college and/or career ready. With a focus on all populations of children, teachers will engage collaboratively to ensure accelerated student learning through reflective practice and professional learning experiences. A guiding philosophy of all adults in our school community is that every student deserves an effective teacher, and we work tirelessly to seek out opportunities that will advance this belief.",Claremont,"1600 Webster Avenue, Bronx NY 10457","Yes—09X313, 09X339",Accessible,718-583-6767,is339.org,"B, D to 170th St","Bx1, Bx11, Bx15, Bx17, Bx18, Bx2, Bx32, Bx41, Bx41-SBS, BxM4",X339L,School of Communication Technology (M.S. 339),Limited Unscreened,388,103,2,2,44,196,N,N,Open to students and residents of the Bronx,Priority to students residing in the zone who sign in at an event,Then to students residing in the zone,Then to students and residents of District 9 who sign in at an event,Then to students and residents of District 10 who sign in at an event,,,,,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronx Leadership Academy High School,Validus Preparatory Academy,Frederick Douglass Academy III Secondary School,,,GR 6-8,Yes,8:20am-2:40pm,Yes,"English as a New Language, Transitional Bilingual Education: Spanish",No,Yes,Yes,Yes,Spanish,,,After-School Program ; Art ; Community Outreach Partnerships ; Dance ; Digital Music Program ; Extended Learning Time ; Holiday Academy ; Saturday Academy ; Student Government ; Technology (MacBooks and iPads),Boys Basketball League,,"Flag Football, Soccer","Baseball, Boys Basketball (Varsity and JV), Girls Basketball, Soccer, Softball, Track and Field ",10457,4,40.840878,-73.904754,3,16,167,2009400,2028970005,Claremont-Bathgate                                                         ,403
12X098,JHS 098 HERMAN RIDDER,85.6,,611,,,,,,,135,127,156,193,,,,,84,13.7,125,20.5,,82,31,5.1,197,32.2,376,61.5,3,0.5,321,52.5,290,47.5,12,Herman Ridder (J.H.S. 98),"Our community-based organization partners include Stella Adler (literacy support through dramatic arts), OMNiLEARN (hands-on science labs), Sports and Arts (physical fitness), and Creative Connections (college and career readiness), which enhance the conventional curriculum by helping students with academics and providing vocational, sports, health, dance, art, and theater programs. Parents appreciate the personalized instruction we offer to meet the needs of each student.",Crotona Park East,"1619 Boston Road, Bronx NY 10460","Yes—12X098, 12X251, 12X511",Not Accessible,718-589-8200,schools.nyc.gov/schoolportals/12/x098,"2, 5 to 174th St","Bx11, Bx17, Bx19, Bx21, Bx36",X098U,Herman Ridder (J.H.S. 98),Unscreened,142,22,1,1,31,109,N,N,Open to students and residents of District 12,Priority to students residing in the zone,"Then to students and residents of District 12. Last year, this program admitted students from all priority groups.",,,,,,,,Students who apply to this program will be randomly selected in the order of the priority groups listed above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,10,17,Harry S Truman High School,,,70,210,GR 6-8,No,7:30am-2:20pm,Yes,"English as a New Language, Transitional Bilingual Education: Spanish",No,Yes,Yes–Academic support and enrichment.,Yes–Saturday program for certain students,Spanish,,,After-School Academic Academy ; Dance (After-School Program) ; Library and Technology (Day-School and After-School Program) ; Music (Day-School and After-School Program) ; Visual Arts (Day-School and After-School Program),Developmental Basketball,Volleyball,,Basketball,10460,4,40.8359,-73.890458,3,17,155,2009867,2029390093,Crotona Park East                                                          ,403
